Cell ID,,Timepoint, ,Position,  ,Displacement Vector,   ,Distance Traveled,    ,Volume,     ,Surface Area,      
"7_(255, 0, 255)_Cell3D",,,,,,,,,,,,,
,,0.0,,,,,,,,,,,
,,1.0,,,,,,,,,,,
,,2.0,,,,,,,,,,,
,,3.0,,,,,,,,,,,
,,4.0,,,,,,,,,,,
,,5.0,,,,,,,,,,,
,,6.0,,,,,,,,,,,
,,7.0,,,,,,,,,,,
,,8.0,,,,,,,,,,,
,,9.0,,,,,,,,,,,
,,10.0,,,,,,,,,,,
,,11.0,,,,,,,,,,,
,,12.0,,,,,,,,,,,
,,13.0,,,,,,,,,,,
,,14.0,,"(-398.1, -5.3, 94.7)",,,,,,101385.2,,14805.4,
,,15.0,,,,,,,,,,,
,,16.0,,,,,,,,,,,
,,17.0,,,,,,,,,,,
,,18.0,,,,,,,,,,,
,,19.0,,,,,,,,,,,
,,20.0,,,,,,,,,,,
,,21.0,,,,,,,,,,,
,,22.0,,,,,,,,,,,
,,23.0,,,,,,,,,,,
,,24.0,,,,,,,,,,,
,,25.0,,,,,,,,,,,
,,26.0,,,,,,,,,,,
,,27.0,,,,,,,,,,,
,,28.0,,,,,,,,,,,
,,29.0,,,,,,,,,,,
,,30.0,,,,,,,,,,,
"8_(60, 115, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-108.6, 37.6, 53.0)",,,,,,152698.0,,17900.3,
,,1.0,,"(-106.3, 33.1, 53.0)",,"(2.3, -4.6, 0.0)",,5.1,,156903.5,,18557.3,
,,2.0,,"(-106.4, 32.4, 56.8)",,"(-0.1, -0.7, 3.8)",,3.9,,150703.8,,17752.6,
,,3.0,,"(-109.8, 29.1, 56.8)",,"(-3.4, -3.2, 0.0)",,4.7,,150354.3,,17302.0,
,,4.0,,"(-109.4, 29.6, 60.6)",,"(0.4, 0.5, 3.8)",,3.8,,137969.0,,17610.3,
,,5.0,,"(-110.2, 28.4, 56.8)",,"(-0.8, -1.2, -3.8)",,4.0,,169259.5,,18367.9,
,,6.0,,"(-107.7, 21.6, 64.4)",,"(2.4, -6.8, 7.6)",,10.5,,138347.9,,18613.3,
,,7.0,,"(-109.8, 26.9, 60.6)",,"(-2.1, 5.3, -3.8)",,6.9,,145678.0,,17684.4,
,,8.0,,"(-111.1, 14.9, 64.4)",,"(-1.3, -12.1, 3.8)",,12.7,,168519.9,,19706.1,
,,9.0,,"(-110.9, 18.0, 64.4)",,"(0.2, 3.2, 0.0)",,3.2,,166317.2,,20380.3,
,,10.0,,"(-112.7, 15.4, 64.4)",,"(-1.8, -2.7, 0.0)",,3.2,,165818.7,,19945.7,
,,11.0,,"(-116.1, 10.1, 64.4)",,"(-3.4, -5.3, 0.0)",,6.3,,146087.1,,18783.6,
,,12.0,,"(-114.2, 18.6, 64.4)",,"(1.9, 8.5, 0.0)",,8.7,,189707.2,,21116.3,
,,13.0,,"(-113.8, 22.2, 53.0)",,"(0.3, 3.6, -11.4)",,11.9,,167186.0,,19422.0,
,,14.0,,"(-118.4, 16.9, 60.6)",,"(-4.6, -5.3, 7.6)",,10.3,,147071.4,,19075.4,
,,15.0,,"(-120.2, 19.2, 60.6)",,"(-1.8, 2.3, 0.0)",,3.0,,162855.9,,19236.9,
,,16.0,,"(-120.5, 17.5, 56.8)",,"(-0.2, -1.7, -3.8)",,4.2,,138703.0,,18800.2,
