Cell ID,,Timepoint, ,Position,  ,Displacement Vector,   ,Distance Traveled,    ,Volume,     ,Surface Area,      
,,19.0,,"(-113.6, -82.2, 60.6)",,"(5.8, 2.0, 0.0)",,6.1,,6104.4,,1741.0,
,,20.0,,"(-118.1, -83.1, 53.0)",,"(-4.5, -0.8, -7.6)",,8.9,,7668.4,,2014.7,
,,21.0,,"(-120.4, -83.2, 53.0)",,"(-2.3, -0.2, 0.0)",,2.3,,8700.4,,2319.3,
,,22.0,,"(-124.2, -85.7, 53.0)",,"(-3.8, -2.5, 0.0)",,4.6,,7667.5,,1989.4,
,,23.0,,"(-118.0, -81.6, 60.6)",,"(6.1, 4.2, 7.6)",,10.6,,6744.3,,1826.2,
"8_(0, 255, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-211.5, 60.0, 60.6)",,,,,,6657.8,,1794.0,
,,1.0,,"(-213.8, 56.7, 64.4)",,"(-2.3, -3.3, 3.8)",,5.5,,11549.6,,2810.8,
,,2.0,,"(-212.2, 59.6, 60.6)",,"(1.6, 2.9, -3.8)",,5.0,,7528.3,,2153.6,
,,3.0,,"(-215.0, 57.3, 56.8)",,"(-2.8, -2.3, -3.8)",,5.2,,9093.9,,2456.6,
,,4.0,,"(-214.7, 54.7, 56.8)",,"(0.3, -2.6, 0.0)",,2.6,,7907.4,,2266.9,
,,5.0,,"(-215.7, 57.0, 64.4)",,"(-1.1, 2.3, 7.6)",,8.0,,7430.4,,2215.2,
,,6.0,,"(-220.2, 55.2, 56.8)",,"(-4.5, -1.8, -7.6)",,9.0,,9359.7,,2673.1,
,,7.0,,"(-215.1, 57.6, 53.0)",,"(5.1, 2.4, -3.8)",,6.8,,11276.5,,2831.7,
,,8.0,,"(-221.5, 54.3, 53.0)",,"(-6.3, -3.3, 0.0)",,7.1,,7788.1,,2113.3,
,,9.0,,"(-223.1, 53.2, 53.0)",,"(-1.6, -1.1, 0.0)",,2.0,,7527.0,,2106.5,
,,10.0,,"(-224.5, 49.2, 49.2)",,"(-1.4, -4.0, -3.8)",,5.7,,10468.9,,2693.6,
,,11.0,,"(-224.7, 43.6, 45.5)",,"(-0.2, -5.6, -3.8)",,6.7,,9647.8,,2408.2,
,,12.0,,"(-225.1, 44.2, 49.2)",,"(-0.4, 0.6, 3.8)",,3.9,,10154.1,,2645.5,
,,13.0,,"(-223.8, 48.0, 45.5)",,"(1.3, 3.8, -3.8)",,5.5,,10790.2,,2648.4,
,,14.0,,"(-221.9, 47.2, 49.2)",,"(1.9, -0.8, 3.8)",,4.3,,10448.4,,2659.0,
,,15.0,,"(-226.0, 50.7, 45.5)",,"(-4.1, 3.5, -3.8)",,6.6,,8733.3,,2228.4,
,,16.0,,"(-226.3, 52.2, 45.5)",,"(-0.3, 1.5, 0.0)",,1.6,,8940.9,,2259.6,
,,17.0,,"(-230.7, 51.8, 45.5)",,"(-4.4, -0.4, 0.0)",,4.4,,8611.1,,2265.6,
,,18.0,,"(-226.8, 50.1, 41.7)",,"(3.9, -1.7, -3.8)",,5.7,,10288.5,,2459.7,
,,19.0,,"(-226.5, 51.9, 45.5)",,"(0.3, 1.7, 3.8)",,4.2,,6449.6,,1843.0,
,,20.0,,"(-233.7, 66.5, 41.7)",,"(-7.2, 14.6, -3.8)",,16.7,,2405.9,,927.3,
,,21.0,,"(-231.6, 60.8, 41.7)",,"(2.1, -5.6, 0.0)",,6.0,,3803.9,,1234.2,
,,22.0,,"(-232.6, 60.6, 45.5)",,"(-1.0, -0.3, 3.8)",,3.9,,5385.3,,1564.6,
,,23.0,,"(-233.4, 65.1, 45.5)",,"(-0.8, 4.6, 0.0)",,4.6,,4364.7,,1375.8,
"9_(0, 255, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-234.5, 24.4, 75.8)",,,,,,7615.5,,2083.4,
,,1.0,,"(-238.7, 21.0, 72.0)",,"(-4.1, -3.4, -3.8)",,6.6,,6407.9,,1894.8,
,,2.0,,"(-240.4, 16.1, 75.8)",,"(-1.8, -4.8, 3.8)",,6.4,,8007.4,,2278.6,
,,3.0,,"(-242.0, 13.5, 75.8)",,"(-1.5, -2.6, 0.0)",,3.0,,8338.5,,2358.1,
,,4.0,,"(-240.9, 8.2, 75.8)",,"(1.0, -5.3, 0.0)",,5.4,,7824.1,,2201.9,
,,5.0,,"(-242.1, 26.0, 79.5)",,"(-1.2, 17.8, 3.8)",,18.2,,12276.4,,3135.5,
,,6.0,,"(-245.3, 40.0, 75.8)",,"(-3.2, 14.0, -3.8)",,14.9,,8099.3,,2237.8,
,,7.0,,"(-242.5, 38.8, 75.8)",,"(2.8, -1.2, 0.0)",,3.0,,7925.8,,2146.1,
,,8.0,,"(-248.6, 41.1, 68.2)",,"(-6.0, 2.3, -7.6)",,9.9,,7805.2,,2198.5,
,,9.0,,"(-246.7, 42.9, 68.2)",,"(1.9, 1.8, 0.0)",,2.6,,7764.7,,2199.4,
,,10.0,,"(-247.1, 40.4, 68.2)",,"(-0.4, -2.5, 0.0)",,2.6,,7891.3,,2219.9,
,,11.0,,"(-248.6, 39.0, 68.2)",,"(-1.5, -1.3, 0.0)",,2.0,,8077.9,,2247.7,
,,12.0,,"(-250.8, 39.7, 72.0)",,"(-2.1, 0.7, 3.8)",,4.4,,8348.4,,2342.0,
,,13.0,,"(-248.8, 36.7, 75.8)",,"(1.9, -3.1, 3.8)",,5.2,,6872.4,,1916.6,
,,14.0,,"(-249.5, 36.0, 68.2)",,"(-0.7, -0.7, -7.6)",,7.6,,9816.4,,2501.7,
,,15.0,,"(-250.4, 41.8, 64.4)",,"(-0.9, 5.9, -3.8)",,7.1,,7751.3,,2100.9,
,,16.0,,"(-251.2, 44.2, 68.2)",,"(-0.8, 2.4, 3.8)",,4.5,,6182.3,,1822.8,
,,17.0,,"(-257.5, 41.4, 64.4)",,"(-6.3, -2.8, -3.8)",,7.9,,8165.4,,2285.2,
,,18.0,,"(-258.6, 42.9, 60.6)",,"(-1.1, 1.5, -3.8)",,4.2,,7545.8,,2063.7,
,,19.0,,"(-261.3, 41.1, 60.6)",,"(-2.6, -1.8, 0.0)",,3.2,,6770.0,,1980.1,
,,20.0,,"(-265.0, 41.5, 60.6)",,"(-3.7, 0.5, 0.0)",,3.7,,7787.4,,2136.3,
