Cell ID,,Timepoint, ,Position,  ,Displacement Vector,   ,Distance Traveled,    ,Volume,     ,Surface Area,      
,,28.0,,"(-280.2, -31.7, 15.2)",,"(-4.1, -3.2, 3.8)",,6.4,,4814.2,,1470.8,
,,29.0,,"(-284.2, -32.3, 15.2)",,"(-4.0, -0.5, 0.0)",,4.0,,5769.6,,1683.2,
,,30.0,,"(-285.3, -37.3, 22.7)",,"(-1.1, -5.0, 7.6)",,9.2,,5175.6,,1533.8,
"5_(0, 0, 255)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-126.9, 40.5, 41.7)",,,,,,136971.7,,17586.3,
,,1.0,,"(-128.1, 41.8, 37.9)",,"(-1.1, 1.3, -3.8)",,4.2,,132705.3,,15627.8,
,,2.0,,"(-130.0, 45.1, 41.7)",,"(-1.9, 3.3, 3.8)",,5.4,,127673.8,,16063.2,
,,3.0,,"(-130.3, 41.8, 45.5)",,"(-0.3, -3.3, 3.8)",,5.0,,134113.8,,16206.5,
,,4.0,,"(-128.9, 46.8, 45.5)",,"(1.4, 4.9, 0.0)",,5.1,,140541.3,,20400.5,
,,5.0,,"(-128.1, 49.7, 41.7)",,"(0.8, 3.0, -3.8)",,4.9,,145929.7,,17671.6,
,,6.0,,"(-132.3, 53.0, 49.2)",,"(-4.2, 3.3, 7.6)",,9.3,,156523.7,,17366.4,
,,7.0,,"(-136.0, 43.7, 45.5)",,"(-3.7, -9.3, -3.8)",,10.7,,151035.5,,16765.8,
,,8.0,,"(-136.6, 39.7, 45.5)",,"(-0.6, -4.0, 0.0)",,4.1,,159865.1,,17381.0,
,,9.0,,"(-133.9, 42.5, 41.7)",,"(2.7, 2.8, -3.8)",,5.4,,153423.1,,17165.2,
,,10.0,,"(-133.7, 41.4, 37.9)",,"(0.2, -1.1, -3.8)",,3.9,,142834.3,,18030.5,
,,11.0,,"(-134.1, 44.7, 41.7)",,"(-0.3, 3.3, 3.8)",,5.0,,149398.0,,16907.6,
,,12.0,,"(-133.3, 46.8, 41.7)",,"(0.7, 2.1, 0.0)",,2.2,,148675.8,,17214.9,
,,13.0,,"(-140.3, 42.0, 49.2)",,"(-7.0, -4.8, 7.6)",,11.4,,144074.6,,17206.6,
,,14.0,,"(-140.0, 44.5, 53.0)",,"(0.3, 2.5, 3.8)",,4.6,,119033.1,,17040.9,
,,15.0,,"(-142.1, 43.4, 49.2)",,"(-2.1, -1.2, -3.8)",,4.5,,163318.1,,18911.4,
,,16.0,,"(-139.1, 39.7, 45.5)",,"(3.1, -3.7, -3.8)",,6.2,,147830.7,,17801.9,
,,17.0,,"(-141.3, 41.9, 45.5)",,"(-2.3, 2.3, 0.0)",,3.2,,159266.7,,20225.0,
,,18.0,,"(-143.6, 32.1, 41.7)",,"(-2.3, -9.8, -3.8)",,10.7,,158337.3,,19478.9,
,,19.0,,"(-139.6, 33.1, 37.9)",,"(4.0, 0.9, -3.8)",,5.6,,162460.2,,18971.6,
,,20.0,,"(-142.3, 40.1, 45.5)",,"(-2.7, 7.0, 7.6)",,10.7,,144335.6,,18091.4,
,,21.0,,"(-144.2, 37.2, 45.5)",,"(-1.9, -2.9, 0.0)",,3.5,,173298.5,,19712.6,
,,22.0,,"(-139.7, 40.3, 45.5)",,"(4.5, 3.1, 0.0)",,5.5,,170020.9,,18826.4,
,,23.0,,"(-144.3, 32.7, 49.2)",,"(-4.6, -7.6, 3.8)",,9.7,,188161.3,,21457.1,
,,24.0,,"(-141.7, 37.2, 49.2)",,"(2.6, 4.5, 0.0)",,5.2,,178294.1,,21560.2,
,,25.0,,"(-146.0, 30.4, 45.5)",,"(-4.3, -6.8, -3.8)",,8.9,,175996.6,,20557.0,
,,26.0,,"(-147.3, 40.3, 49.2)",,"(-1.3, 10.0, 3.8)",,10.7,,167218.7,,19547.4,
,,27.0,,"(-149.3, 32.8, 53.0)",,"(-2.0, -7.6, 3.8)",,8.7,,190857.4,,23483.1,
,,28.0,,"(-149.5, 35.6, 49.2)",,"(-0.1, 2.8, -3.8)",,4.7,,201634.7,,22919.7,
,,29.0,,"(-147.8, 32.0, 49.2)",,"(1.6, -3.6, 0.0)",,4.0,,194733.7,,22055.0,
,,30.0,,"(-148.2, 29.9, 56.8)",,"(-0.4, -2.1, 7.6)",,7.9,,217128.1,,25163.2,
"6_(0, 0, 255)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-263.9, 2.6, 15.2)",,,,,,5848.7,,1921.7,
,,1.0,,"(-266.7, -1.4, 15.2)",,"(-2.8, -4.0, 0.0)",,4.8,,5662.7,,1848.0,
,,2.0,,"(-266.9, 9.9, 18.9)",,"(-0.2, 11.3, 3.8)",,11.9,,6430.5,,2122.8,
,,3.0,,"(-273.7, 6.2, 26.5)",,"(-6.7, -3.7, 7.6)",,10.8,,7361.7,,2303.6,
,,4.0,,"(-277.0, 25.5, 30.3)",,"(-3.3, 19.3, 3.8)",,19.9,,6178.8,,1928.5,
,,5.0,,"(-274.8, 30.6, 30.3)",,"(2.2, 5.1, 0.0)",,5.6,,6035.2,,1889.7,
,,6.0,,"(-279.5, 26.9, 34.1)",,"(-4.7, -3.7, 3.8)",,7.1,,7457.2,,2307.3,
,,7.0,,"(-285.0, 17.2, 30.3)",,"(-5.6, -9.7, -3.8)",,11.8,,5848.2,,1891.1,
,,8.0,,"(-287.9, -3.7, 30.3)",,"(-2.8, -20.9, 0.0)",,21.1,,6302.7,,2130.6,
,,9.0,,"(-290.5, 12.6, 30.3)",,"(-2.6, 16.3, 0.0)",,16.5,,6766.0,,2180.2,
,,10.0,,"(-293.1, 10.8, 30.3)",,"(-2.7, -1.8, 0.0)",,3.2,,7372.5,,2323.7,
,,11.0,,"(-292.7, 9.2, 30.3)",,"(0.4, -1.6, 0.0)",,1.6,,6430.9,,2139.7,
,,12.0,,"(-297.5, 18.2, 34.1)",,"(-4.8, 9.0, 3.8)",,10.9,,6862.6,,2147.9,
,,13.0,,"(-299.9, 11.1, 30.3)",,"(-2.4, -7.1, -3.8)",,8.4,,5393.6,,1802.7,
,,14.0,,"(-298.7, 12.7, 22.7)",,"(1.2, 1.6, -7.6)",,7.8,,4510.4,,1602.2,
,,15.0,,"(-307.6, 17.3, 18.9)",,"(-8.8, 4.6, -3.8)",,10.7,,6175.9,,2018.2,
,,16.0,,"(-309.9, -1.8, 15.2)",,"(-2.3, -19.1, -3.8)",,19.6,,6142.5,,2013.3,
,,17.0,,"(-315.6, -5.7, 22.7)",,"(-5.8, -3.9, 7.6)",,10.3,,6137.4,,1992.2,
,,18.0,,"(-322.2, -17.1, 26.5)",,"(-6.5, -11.4, 3.8)",,13.7,,7125.1,,2241.8,
,,19.0,,"(-324.0, -23.9, 26.5)",,"(-1.8, -6.8, 0.0)",,7.1,,7266.6,,2243.2,
,,20.0,,"(-328.7, -4.4, 22.7)",,"(-4.7, 19.5, -3.8)",,20.4,,6427.1,,2150.5,
,,21.0,,"(-334.9, -3.0, 22.7)",,"(-6.1, 1.4, 0.0)",,6.3,,5518.3,,1982.4,
,,22.0,,"(-334.8, 2.6, 22.7)",,"(0.0, 5.6, 0.0)",,5.6,,6113.9,,2072.0,
,,23.0,,"(-341.8, 2.1, 22.7)",,"(-7.0, -0.5, 0.0)",,7.0,,6389.7,,2095.4,
,,24.0,,"(-344.1, 4.1, 22.7)",,"(-2.4, 2.0, 0.0)",,3.1,,6073.8,,1966.1,
,,25.0,,"(-348.7, -1.6, 22.7)",,"(-4.6, -5.7, 0.0)",,7.3,,5815.6,,2006.5,
,,26.0,,"(-355.0, 6.5, 30.3)",,"(-6.3, 8.0, 7.6)",,12.7,,5179.7,,1627.1,
,,27.0,,"(-367.4, 8.2, 34.1)",,"(-12.4, 1.7, 3.8)",,13.1,,2151.1,,886.0,
,,28.0,,"(-366.2, 10.7, 34.1)",,"(1.2, 2.5, 0.0)",,2.8,,2515.7,,947.3,
,,29.0,,"(-373.4, 5.7, 22.7)",,"(-7.2, -5.0, -11.4)",,14.4,,4012.9,,1344.0,
,,30.0,,"(-374.6, 11.9, 30.3)",,"(-1.2, 6.1, 7.6)",,9.8,,4078.8,,1348.8,
"7_(0, 0, 255)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-194.2, -74.9, 34.1)",,,,,,6962.4,,1924.5,
,,1.0,,"(-194.2, -76.8, 34.1)",,"(-0.0, -1.9, 0.0)",,1.9,,6613.8,,1833.8,
,,2.0,,"(-193.8, -72.5, 34.1)",,"(0.5, 4.3, 0.0)",,4.3,,6410.4,,1804.1,
,,3.0,,"(-199.1, -74.4, 34.1)",,"(-5.4, -1.8, 0.0)",,5.7,,8412.9,,2179.5,
,,4.0,,"(-203.1, -62.0, 30.3)",,"(-3.9, 12.4, -3.8)",,13.5,,6692.0,,1860.7,
,,5.0,,"(-203.1, -56.2, 30.3)",,"(-0.1, 5.8, 0.0)",,5.8,,5725.7,,1681.9,
,,6.0,,"(-207.6, -52.2, 34.1)",,"(-4.4, 4.0, 3.8)",,7.1,,6902.3,,1921.8,
,,7.0,,"(-208.8, -52.4, 26.5)",,"(-1.2, -0.2, -7.6)",,7.7,,8267.1,,2187.5,
,,8.0,,"(-206.3, -65.3, 26.5)",,"(2.5, -12.9, 0.0)",,13.2,,8858.3,,2438.7,
,,9.0,,"(-211.8, -55.7, 22.7)",,"(-5.5, 9.6, -3.8)",,11.7,,6924.6,,1936.0,
,,10.0,,"(-214.7, -55.7, 22.7)",,"(-2.8, 0.0, 0.0)",,2.8,,8773.6,,2223.0,
,,11.0,,"(-214.7, -55.9, 22.7)",,"(-0.0, -0.2, 0.0)",,0.2,,6350.2,,1793.1,
,,12.0,,"(-219.4, -60.3, 30.3)",,"(-4.8, -4.5, 7.6)",,10.0,,7068.1,,1888.5,
,,13.0,,"(-218.5, -53.4, 26.5)",,"(0.9, 6.9, -3.8)",,8.0,,8542.6,,2263.4,
,,14.0,,"(-218.5, -49.9, 22.7)",,"(-0.0, 3.5, -3.8)",,5.2,,6875.8,,1993.6,
,,15.0,,"(-223.5, -46.2, 22.7)",,"(-5.0, 3.6, 0.0)",,6.2,,8284.3,,2326.6,
,,16.0,,"(-226.6, -35.8, 15.2)",,"(-3.1, 10.5, -7.6)",,13.3,,7203.5,,2042.1,
,,17.0,,"(-230.2, -24.9, 15.2)",,"(-3.6, 10.9, 0.0)",,11.4,,6284.3,,1830.4,
,,18.0,,"(-226.6, -13.5, 18.9)",,"(3.6, 11.5, 3.8)",,12.6,,2069.7,,852.9,
,,19.0,,"(-228.6, -17.8, 18.9)",,"(-1.9, -4.3, 0.0)",,4.7,,3317.2,,1123.1,
